writing score,test preparation course
"88",completed
"92",completed
"67",completed
"70",completed
"70",completed
"80",completed
"79",completed
"88",completed
"66",completed
"62",completed
"76",completed
"82",completed
"68",completed
"87",completed
"86",completed
"58",completed
"72",completed
"73",completed
"63",completed
"81",completed
"72",completed
"54",completed
"50",completed
"82",completed
"62",completed
"70",completed
"74",completed
"90",completed
"64",completed
"98",completed
"100",completed
"89",completed
"92",completed
"93",completed
"74",completed
"70",completed
"84",completed
"75",completed
"69",completed
"54",completed
"81",completed
"93",completed
"69",completed
"66",completed
"88",completed
"78",completed
"87",completed
"74",completed
"85",completed
"100",completed
"51",completed
"78",completed
"78",completed
"70",completed
"74",completed
"54",completed
"87",completed
"58",completed
"77",completed
"62",completed
"100",completed
"75",completed
"65",completed
"68",completed
"79",completed
"62",completed
"85",completed
"65",completed
"86",completed
"78",completed
"76",completed
"79",completed
"56",completed
"81",completed
"75",completed
"88",completed
"56",completed
"74",completed
"73",completed
"94",completed
"84",completed
"74",completed
"66",completed
"68",completed
"70",completed
"77",completed
"81",completed
"77",completed
"78",completed
"95",completed
"76",completed
"93",completed
"75",completed
"78",completed
"82",completed
"88",completed
"77",completed
"57",completed
"80",completed
"68",completed
"50",completed
"81",completed
"81",completed
"83",completed
"81",completed
"68",completed
"69",completed
"75",completed
"91",completed
"84",completed
"77",completed
"53",completed
"69",completed
"60",completed
"74",completed
"67",completed
"95",completed
"80",completed
"69",completed
"78",completed
"60",completed
"53",completed
"70",completed
"96",completed
"100",completed
"95",completed
"59",completed
"56",completed
"77",completed
"67",completed
"100",completed
"63",completed
"56",completed
"85",completed
"74",completed
"78",completed
"67",completed
"79",completed
"68",completed
"54",completed
"93",completed
"64",completed
"67",completed
"80",completed
"53",completed
"82",completed
"79",completed
"77",completed
"80",completed
"85",completed
"68",completed
"62",completed
"65",completed
"85",completed
"90",completed
"84",completed
"91",completed
"83",completed
"66",completed
"68",completed
"57",completed
"82",completed
"66",completed
"76",completed
"92",completed
"92",completed
"62",completed
"94",completed
"85",completed
"73",completed
"78",completed
"79",completed
"60",completed
"73",completed
"58",completed
"94",completed
"68",completed
"83",completed
"58",completed
"71",completed
"86",completed
"68",completed
"80",completed
"80",completed
"97",completed
"64",completed
"88",completed
"79",completed
"79",completed
"92",completed
"80",completed
"100",completed
"78",completed
"70",completed
"64",completed
"53",completed
"52",completed
"58",completed
"80",completed
"99",completed
"72",completed
"90",completed
"63",completed
"91",completed
"68",completed
"52",completed
"86",completed
"99",completed
"63",completed
"55",completed
"81",completed
"81",completed
"88",completed
"90",completed
"80",completed
"81",completed
"81",completed
"53",completed
"76",completed
"98",completed
"74",completed
"60",completed
"71",completed
"77",completed
"84",completed
"78",completed
"66",completed
"76",completed
"76",completed
"68",completed
"100",completed
"68",completed
"81",completed
"90",completed
"79",completed
"82",completed
"87",completed
"64",completed
"58",completed
"90",completed
"85",completed
"74",completed
"87",completed
"72",completed
"99",completed
"80",completed
"59",completed
"88",completed
"71",completed
"77",completed
"57",completed
"80",completed
"94",completed
"73",completed
"72",completed
"86",completed
"68",completed
"75",completed
"85",completed
"72",completed
"65",completed
"77",completed
"86",completed
"77",completed
"60",completed
"72",completed
"82",completed
"82",completed
"82",completed
"62",completed
"79",completed
"77",completed
"73",completed
"68",completed
"73",completed
"67",completed
"76",completed
"87",completed
"76",completed
"92",completed
"51",completed
"70",completed
"81",completed
"89",completed
"89",completed
"74",completed
"79",completed
"53",completed
"76",completed
"64",completed
"85",completed
"80",completed
"88",completed
"72",completed
"76",completed
"78",completed
"66",completed
"70",completed
"80",completed
"95",completed
"91",completed
"75",completed
"79",completed
"63",completed
"82",completed
"100",completed
"91",completed
"70",completed
"66",completed
"66",completed
"100",completed
"80",completed
"91",completed
"60",completed
"71",completed
"70",completed
"73",completed
"74",completed
"90",completed
"85",completed
"69",completed
"72",completed
"61",completed
"52",completed
"73",completed
"83",completed
"54",completed
"75",completed
"64",completed
"69",completed
"60",completed
"77",completed
"60",completed
"86",completed
"91",completed
"76",completed
"83",completed
"75",completed
"78",completed
"95",completed
"65",completed
"77",completed
